"features"	"surprisal"	"normSurp"	"length"	"affixLen"	"normSurpAffix"	"freq"	"log_freq"
"1"	"V;COND;1;PL"	9.47775333194037	0.777516657996094	12.4019748367574	4.29919838615491	2.48904629608461	3709	8.21851757748959
"2"	"V;COND;1;SG"	2.81360305510881	0.25755134244704	11.2061991762594	3.0981096208681	0.949653054590319	26107	10.1699587565855
"3"	"V;COND;2;PL"	4.70767066370884	0.421535536686189	11.4400717450939	3.33794049377506	1.47654321900732	3736	8.22577079934873
"4"	"V;COND;2;SG"	9.56239792663795	0.842040582832927	11.3471096135622	3.242287038012	3.15588249513356	26109	10.1700353614576
"5"	"V;COND;3;PL"	18.7751686193768	1.43802939401661	13.1974280594498	5.09144091915252	3.84657623460478	58460	10.9760980386652
"6"	"V;COND;3;SG"	18.141935880732	1.64811697519056	11.2090008431703	3.1031302698145	6.09043313501442	407139	12.9169099294604
"7"	"V;IND;FUT;1;PL"	8.74192738754536	0.791941523326167	11.3043155156855	3.2013376506184	2.90910928157092	10039	9.21423278669153
"8"	"V;IND;FUT;1;SG"	12.2846303410859	1.23232361946258	10.2186427251122	2.11032479535252	5.84009291527999	23557	10.0671782951926
"9"	"V;IND;FUT;2;PL"	17.8918256823037	1.79288044118312	10.4228212703102	2.32090103397341	7.72852183124181	9801	9.19023970026918
"10"	"V;IND;FUT;2;SG"	12.4473390113077	1.27142069929973	10.2330823108115	2.12781083785349	6.03301763446721	7765	8.95738173558279
"11"	"V;IND;FUT;3;PL"	18.2279560325106	1.63950173700348	11.3299762720801	3.22277880305827	5.98496338164506	174606	12.0702872860584
"12"	"V;IND;FUT;3;SG"	0.747414876611841	0.0850204086567329	9.24057573680603	1.13391680286814	0.485290747865037	741699	13.5166987794697
"13"	"V;IND;PRS;1;PL"	3.8843186802157	0.416244285998828	9.81358634986445	1.70695795460586	2.543729553614	254130	12.4456012260937
"14"	"V;IND;PRS;1;SG"	1.9123272742911	0.301011612008678	7.33470833994394	-0.776191231688614	-1.26783429789005	54559691	17.8148059079937
"15"	"V;IND;PRS;2;PL"	1.23174304562772	0.156384488743227	8.7672391017173	0.661875825627477	0.23110430317011	157483	11.9670727949143
"16"	"V;IND;PRS;2;SG"	12.4661807409285	1.57639192110582	8.28631645502924	0.179724959165393	1.9505250031881	11300536	16.2403607161859
"17"	"V;IND;PRS;3;PL"	3.17235449980406	0.35007120325934	9.42311547185736	1.3162947723796	2.46194513464937	8120130	15.9098567218619
"18"	"V;IND;PRS;3;SG"	2.70680456267459	0.396083058447574	7.44917444743367	-0.659017777074432	-1.13687359377381	51612349	17.7592715235243
"19"	"V;IND;PST;1;PL;IPFV"	3.63415075002306	0.349503941799836	10.9004946019252	2.79380949848428	1.30014566609359	495284	13.1128866144002
"20"	"V;IND;PST;1;PL;PFV"	27.9029697489345	2.79090024482309	10.2526125934964	2.15235266033632	11.5856772815662	74947	11.2245364760452
"21"	"V;IND;PST;1;SG;IPFV"	1.75112272740361	0.202129738853602	9.28144786829886	1.17512663571127	1.59533824075545	48463	10.7885558991816
"22"	"V;IND;PST;1;SG;PFV"	14.1607046086696	1.8652734677254	7.8632117789857	-0.243337379281229	-2.71607075483168	3695130	15.1225262944248
"23"	"V;IND;PST;2;PL;IPFV"	5.70083400384045	0.60566493451548	9.89986260832805	1.79396533502431	2.98483263411034	6165	8.72664341559844
"24"	"V;IND;PST;2;PL;PFV"	28.8878385689806	2.91150024996317	10.275085684155	2.17469021882415	12.6741890666866	73572	11.2060197975507
"25"	"V;IND;PST;2;SG;IPFV"	4.7328805632572	0.520198433678325	9.35642887205387	1.253367003367	4.23310791691453	48438	10.7880399086231
"26"	"V;IND;PST;2;SG;PFV"	11.8475078235221	1.55628664513981	8.14035272440116	0.0359568307449329	2.35915260132509	3323447	15.0165130552928
"27"	"V;IND;PST;3;PL;IPFV"	13.1481329931719	1.16887105109575	11.2782049931528	3.17386495312335	4.08468448638536	354383	12.7781335281653
"28"	"V;IND;PST;3;PL;PFV"	84.1943571025445	7.61453313538028	11.2704585026117	3.16287658945813	26.9367977313376	521127	13.1637490530265
"29"	"V;IND;PST;3;SG;IPFV"	2.85742151624877	0.325264935912837	9.28697071834843	1.18274699810407	2.18888331123513	1600065	14.2855548113848
"30"	"V;IND;PST;3;SG;PFV"	5.45837889504618	0.805573197388072	7.22286648041748	-0.883031996204733	-3.50964445921903	3477212	15.0617413812337
"31"	"V;POS;IMP;1;PL"	2.90249738816146	0.290007672042241	9.86485634749724	1.7643783812175	1.1195370957604	181299	12.1079028810079
"32"	"V;POS;IMP;2;PL"	9.2718904488868	1.09997679619104	8.81553653027995	0.71505856400021	3.71005802754376	101429	11.5271143253054
"33"	"V;POS;IMP;2;SG"	2.61973416778201	0.350833522000725	7.49244015119698	-0.609827803443931	-0.229526407597256	29488189	17.1995003682581
"34"	"V;SBJV;PRS;1;PL"	4.31395633503422	0.417109618142798	10.574178453685	2.46740401999362	1.65935166458992	439889	12.9942777013411
"35"	"V;SBJV;PRS;1;SG"	1.93488555812362	0.281234251441687	7.62744060532303	-0.484364252076829	-1.0595492451338	52102629	17.7687259661031
"36"	"V;SBJV;PRS;2;PL"	3.64467186553481	0.394862390984893	9.61387289344392	1.5081092503566	2.44663795163814	8044	8.99268175089254
"37"	"V;SBJV;PRS;2;SG"	3.01564518995835	0.4174743265249	8.52976535723702	0.422251515950435	-0.201411700401621	27143999	17.1166665486056
"38"	"V;SBJV;PRS;3;PL"	2.88357223564595	0.32196679618001	9.44004853088569	1.33312232948251	2.38924357430527	3114027	14.9514273018587
