"features"	"surprisal"	"normSurp"	"length"	"affixLen"	"normSurpAffix"	"freq"	"log_freq"
"1"	"N;ACC;PL"	8.15296469193664	0.794921223560184	10.6456699152207	2.06196022502179	2.6648282128542	20395755	16.8308373489258
"2"	"N;ACC;SG"	1.4216791302144	0.141457761108135	9.68980270976943	1.1078361461057	0.872707293126779	45313020	17.6291049663754
"3"	"N;DAT;PL"	11.307285325652	1.05791785846271	11.1875445685762	2.60383487837731	3.67237254075226	12040228	16.3037639345427
"4"	"N;DAT;SG"	1.29636545805628	0.127561478017124	9.69986530385865	1.11789874019491	0.777998632837444	45411075	17.6312665759937
"5"	"N;GEN;PL"	5.97933746867256	0.569752301192326	10.6675382299342	2.08382853973536	1.54518413521259	20395755	16.8308373489258
"6"	"N;GEN;SG"	13.1400293072059	1.28379701543813	10.5638668779715	1.98201267828843	5.34733280615798	22401739	16.9246491477405
"7"	"N;NOM;PL"	6.3928127351551	0.615960301457496	10.6886934474289	2.10498375723001	1.72522673658577	20395755	16.8308373489258
"8"	"N;NOM;SG"	1.58830819918936	0.153460458303722	9.65280088740987	1.07083432374614	0.733511301745169	44845817	17.6187408756758
"9"	"V;IMP;2;PL"	9.75118738935323	1.28835816350124	8.06186726659168	-0.369403824521935	-5.51948005986852	7857734	15.877008827675
"10"	"V;IMP;2;SG"	4.79717581246491	0.709235929931162	7.15080262265431	-1.2717612480217	-2.94878917447852	1493029	14.2163175003113
"11"	"V;IND;PRS;1;PL"	3.32915625600614	0.438832647049045	8.36328914850595	-0.0354976409795552	-2.97839184347687	6139703	15.6302869276179
"12"	"V;IND;PRS;1;SG"	15.7692337834064	2.26156580305998	7.58393829401089	-0.831442831215971	-13.7427892540037	676642	13.4248976084835
"13"	"V;IND;PRS;2;PL"	2.51355655375134	0.346411471476565	8.06545209176788	-0.366846603688709	-2.03462690124242	8484393	15.9537389160832
"14"	"V;IND;PRS;2;SG"	11.4814515480116	1.34954957453906	8.93562135486765	0.52669358456707	5.6093954270413	1063202	13.876795667493
"15"	"V;IND;PRS;3;PL"	17.4663996114063	2.19184064007202	8.38440799820265	-0.016176140193215	-9.1060418247971	6139703	15.6302869276179
"16"	"V;IND;PRS;3;SG"	9.99127038117835	1.33602866871107	8.09626630679262	-0.33783175888439	-6.22355140030573	10755837	16.1909591419236
"17"	"V;IND;PST;1;PL"	3.98508319226532	0.444142234692786	9.64792833146697	1.23404255319149	1.95544234682788	4002691	15.2024774428893
"18"	"V;IND;PST;1;SG"	0.870639952493588	0.125469570510684	8.71604938271605	0.297867564534231	0.226230369946594	13270425	16.4010484329244
"19"	"V;IND;PST;2;PL"	0.829516885406441	0.100834160139024	9.68948545861297	1.26532438478747	0.24859171361715	32746	10.3965360961994
"20"	"V;IND;PST;2;SG"	2.05354965743332	0.232069946692522	10.6492954596287	2.22858420934914	0.593580826768917	634	6.45204895443723
"21"	"V;IND;PST;3;PL"	3.66849560079333	0.384407756715738	9.66808510638298	1.25240761478163	2.56170331343799	4002691	15.2024774428893
"22"	"V;IND;PST;3;SG"	1.10333322869563	0.140279241459148	8.74107343364024	0.321580956658433	0.15627761640173	13258001	16.4001117772096
"23"	"V;SBJV;PRS;1;PL"	1.84818189839991	0.228319359258784	8.42818610923803	0.0251741964486401	-0.832979601546852	6139345	15.6302286169084
"24"	"V;SBJV;PRS;1;SG"	0.946863904802086	0.129093323807197	7.70323014804845	-0.692462987886945	-0.758447897706899	669979	13.4150016475924
"25"	"V;SBJV;PRS;2;PL"	7.17918819685928	0.85077809194501	8.65302013422819	0.252572706935123	5.2599251342101	1662951	14.3241042929184
"26"	"V;SBJV;PRS;2;SG"	8.23807384565445	0.934388789970114	9.61879194630873	1.21991051454139	6.95998498063129	542	6.29526600143965
"27"	"V;SBJV;PRS;3;PL"	2.69792289827671	0.308334600478509	8.449314452686	0.0445043830074174	-0.122020428450529	6139345	15.6302286169084
"28"	"V;SBJV;PRS;3;SG"	0.862853869584258	0.123733680889634	7.72431583669807	-0.672947510094213	-0.4560073221169	669979	13.4150016475924
"29"	"V;SBJV;PST;1;PL"	2.03858670357029	0.210860825526348	9.68712206047032	1.26987681970885	1.53336917478074	2001359	14.5093370077686
"30"	"V;SBJV;PST;1;SG"	2.46128359650274	0.301516902343864	8.83741848437149	0.416460535192264	-0.317339349769097	5321741	15.4873110634205
"31"	"V;SBJV;PST;2;PL"	1.50882427349977	0.172518677428499	9.77536394176932	1.34960806270997	0.362951930324657	566	6.33859407820318
"32"	"V;SBJV;PST;2;SG"	1.07662549253888	0.113009532842698	10.7420510523959	2.31974921630094	0.571462490582123	351	5.86078622346587
"33"	"V;SBJV;PST;3;PL"	0.979576916585488	0.111046510132607	9.70727883538634	1.28824188129899	0.41397732826341	2001359	14.5093370077686
"34"	"V;SBJV;PST;3;SG"	1.23487264899273	0.156434344609284	8.85765684731279	0.43489993253879	-0.431258760855268	5321741	15.4873110634205
